,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,01-17-2025,Why NuScale Power Is Skyrocketing Today,https://www.fool.com/investing/2025/01/17/why-nuscale-power-is-skyrocketing-today/?source=iedfolrf0000001,The Motley Fool,neutral,0.876885712146759,0.0475003272294998,0.876885712146759,0.0756139755249023,-0.0281136482954025,-0.11081094178371129,0.44459452910814434
1,1,10-22-2024,Why Tech Giants Are Betting Big on Nuclear Power,https://www.investing.com/analysis/why-tech-giants-are-betting-big-on-nuclear-power-200653246,Investing.com,neutral,0.9347989559173584,0.0374260544776916,0.9347989559173584,0.0277749821543693,0.009651072323322303,-0.11081094178371129,0.44459452910814434
2,2,07-19-2024,Lightbridge updates at-the-market equity offering terms - Investing.com,https://www.investing.com/news/company-news/lightbridge-updates-atthemarket-equity-offering-terms-93CH-3527792,Investing.com,neutral,0.947608232498169,0.0281891860067844,0.947608232498169,0.0242025461047887,0.0039866399019957005,-0.11081094178371129,0.44459452910814434
3,3,07-10-2024,Energy Fuels (UUUU) Falls 15.3% YTD: Should You Buy the Dip? - Zacks Investment Research,https://www.zacks.com/stock/news/2299491/energy-fuels-uuuu-falls-153-ytd-should-you-buy-the-dip,Zacks Investment Research,neutral,0.6451637744903564,0.060850977897644,0.6451637744903564,0.2939851880073547,-0.2331342101097107,-0.11081094178371129,0.44459452910814434
4,4,05-17-2024,Why Cameco Stock Is Glowing Green Today,https://www.fool.com/investing/2024/05/17/why-cameco-stock-is-glowing-green-today/,The Motley Fool,neutral,0.8477988839149475,0.1375530362129211,0.8477988839149475,0.0146480770781636,0.12290495913475749,-0.11081094178371129,0.44459452910814434
5,5,05-07-2024,"Centrus Energy Corp. (LEU) Reports Q1 Loss, Lags Revenue Estimates",https://www.zacks.com/stock/news/2270123/centrus-energy-corp-leu-reports-q1-loss-lags-revenue-estimates,Zacks Investment Research,negative,0.9731801748275756,0.0100720208138227,0.0167477633804082,0.9731801748275756,-0.9631081540137528,-0.11081094178371129,0.44459452910814434
6,6,05-07-2024,Centrus Energy (LEU) to Report Q1 Earnings: What's in Store?,https://www.zacks.com/stock/news/2269695/centrus-energy-leu-to-report-q1-earnings-whats-in-store,Zacks Investment Research,neutral,0.9097363352775574,0.0469898842275142,0.9097363352775574,0.0432737432420253,0.0037161409854888985,-0.11081094178371129,0.44459452910814434
7,7,05-01-2024,Westlake Chemical (WLK) Q1 Earnings and Revenues Top Estimates,https://www.zacks.com/stock/news/2265652/westlake-chemical-wlk-q1-earnings-and-revenues-top-estimates,Zacks Investment Research,neutral,0.6671693921089172,0.2172982841730117,0.6671693921089172,0.115532286465168,0.1017659977078437,-0.11081094178371129,0.44459452910814434
8,8,04-16-2024,5 Non-Ferrous Metal Mining Stocks to Watch on Improving Industry Trends,https://www.zacks.com/commentary/2256284/5-non-ferrous-metal-mining-stocks-to-watch-on-improving-industry-trends,Zacks Investment Research,positive,0.7941085696220398,0.7941085696220398,0.1887525171041488,0.0171389766037464,0.7769695930182934,-0.11081094178371129,0.44459452910814434
9,9,03-19-2024,"Cramer Calls Datadog 'Dynamite,' Puts SoFi In Dog House: 'What The Heck Is Going On'",https://www.benzinga.com/trading-ideas/long-ideas/24/03/37812350/cramer-calls-datadog-dynamite-puts-sofi-in-dog-house-what-the-heck-is-going-on,Benzinga,negative,0.7734212279319763,0.0147643769159913,0.2118143737316131,0.7734212279319763,-0.758656851015985,-0.11081094178371129,0.44459452910814434
10,10,03-14-2024,"Down -13.72% in 4 Weeks, Here's Why Centrus Energy Corp. (LEU) Looks Ripe for a Turnaround",https://www.zacks.com/stock/news/2240593/down--1372-in-4-weeks-heres-why-centrus-energy-corp-leu-looks-ripe-for-a-turnaround,Zacks Investment Research,negative,0.9407860040664672,0.0320601239800453,0.0271538849920034,0.9407860040664672,-0.9087258800864219,-0.11081094178371129,0.44459452910814434
11,11,03-06-2024,"Zacks.com featured highlights Trip.com Group, Medpace, Centrus Energy and NVIDIA",https://www.zacks.com/stock/news/2236414/zackscom-featured-highlights-tripcom-group-medpace-centrus-energy-and-nvidia,Zacks Investment Research,neutral,0.946639358997345,0.0316774807870388,0.946639358997345,0.0216831155121326,0.009994365274906204,-0.11081094178371129,0.44459452910814434
12,12,03-05-2024,4 Best Profitable Stocks to Invest in Using Net Income Ratio,https://www.zacks.com/stock/news/2235750/4-best-profitable-stocks-to-invest-in-using-net-income-ratio,Zacks Investment Research,neutral,0.7821285128593445,0.2097645848989486,0.7821285128593445,0.0081069311127066,0.20165765378624198,-0.11081094178371129,0.44459452910814434
13,13,02-27-2024,"Zacks.com featured highlights include Griffon, Centrus Energy, Tactile Systems Technology and Copa Holdings",https://www.zacks.com/stock/news/2232242/zackscom-featured-highlights-include-griffon-centrus-energy-tactile-systems-technology-and-copa-holdings,Zacks Investment Research,neutral,0.9387235045433044,0.048764131963253,0.9387235045433044,0.0125123979523777,0.0362517340108753,-0.11081094178371129,0.44459452910814434
14,14,02-26-2024,4 Stocks With Solid Net Profit Margin to Boost Portfolio Returns,https://www.zacks.com/stock/news/2231414/4-stocks-with-solid-net-profit-margin-to-boost-portfolio-returns,Zacks Investment Research,positive,0.9525508880615234,0.9525508880615234,0.028955016285181,0.0184941682964563,0.9340567197650671,-0.11081094178371129,0.44459452910814434
15,15,02-23-2024,"Zacks.com featured highlights Trip.com, Medpace, Centrus Energy, Suzano and NVIDIA",https://www.zacks.com/stock/news/2230620/zackscom-featured-highlights-tripcom-medpace-centrus-energy-suzano-and-nvidia,Zacks Investment Research,neutral,0.9444546103477478,0.0366490222513675,0.9444546103477478,0.018896359950304,0.0177526623010635,-0.11081094178371129,0.44459452910814434
16,16,02-22-2024,5 Best Profitable Stocks to Buy Using Net Income Ratio,https://www.zacks.com/stock/news/2229855/5-best-profitable-stocks-to-buy-using-net-income-ratio,Zacks Investment Research,neutral,0.773427426815033,0.2160799652338028,0.773427426815033,0.0104925474151968,0.20558741781860598,-0.11081094178371129,0.44459452910814434
17,17,02-21-2024,"Down -22.34% in 4 Weeks, Here's Why Centrus Energy Corp. (LEU) Looks Ripe for a Turnaround",https://www.zacks.com/stock/news/2229247/down--2234-in-4-weeks-heres-why-centrus-energy-corp-leu-looks-ripe-for-a-turnaround,Zacks Investment Research,negative,0.9441440105438232,0.0307833850383758,0.0250726006925106,0.9441440105438232,-0.9133606255054474,-0.11081094178371129,0.44459452910814434
18,18,02-13-2024,"Centrus Energy (LEU) Q4 Earnings Top Estimates, Sales Dip Y/Y",https://www.zacks.com/stock/news/2225769/centrus-energy-leu-q4-earnings-top-estimates-sales-dip-yy,Zacks Investment Research,negative,0.96916002035141,0.0184264853596687,0.0124135306105017,0.96916002035141,-0.9507335349917413,-0.11081094178371129,0.44459452910814434
19,19,02-09-2024,Why Cloudflare Shares Are Trading Higher By Over 25%; Here Are 20 Stocks Moving Premarket,https://www.benzinga.com/news/24/02/37032129/why-cloudflare-shares-are-trading-higher-by-over-25-here-are-20-stocks-moving-premarket,Benzinga,neutral,0.8416234254837036,0.1368478387594223,0.8416234254837036,0.0215287264436483,0.115319112315774,-0.11081094178371129,0.44459452910814434
