,Value
ticker,OKLO
name,Oklo Inc.
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001849056
composite_figi,BBG0112CBLW3
share_class_figi,BBG0112CBMQ8
market_cap,5306319322.559999
phone_number,650-550-0127
address,"{'address1': '3190 CORONADO DR.', 'city': 'SANTA CLARA', 'state': 'CA', 'postal_code': '95054'}"
description,"Oklo Inc is developing advanced fission power plants to provide clean, reliable, and affordable energy at scale. It is pursuing two complementary tracks to address this demand: providing reliable, commercial-scale energy to customers; and selling used nuclear fuel recycling services to the U.S. market. The Company plans to commercialize its liquid metal fast reactor technology with the Aurora powerhouse product line. The first commercial Aurora powerhouse is designed to produce up to 15 megawatts of electricity (MWe) on both recycled nuclear fuel and fresh fuel."
sic_code,4911
sic_description,ELECTRIC SERVICES
ticker_root,OKLO
homepage_url,https://www.oklo.com
list_date,2024-05-10
branding,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/b2tsby5jb20/images/2024-10-01_logo.png'}
share_class_shares_outstanding,122100000
weighted_shares_outstanding,136796064
round_lot,100
