,Value
ticker,SMR
name,NuScale Power Corporation
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001822966
composite_figi,BBG00YG48NM6
share_class_figi,BBG00YG48PG8
market_cap,2301891465.44
phone_number,(971) 371-1592
address,"{'address1': '1100 NE CIRCLE BLVD., SUITE 200', 'city': 'CORVALLIS', 'state': 'OR', 'postal_code': '97330'}"
description,"NuScale Power Corp is engaged in the development of a new modular light water reactor nuclear power plant to supply energy for electrical generation, district heating, desalination, hydrogen production, and other process heat applications."
sic_code,3443
sic_description,FABRICATED PLATE WORK (BOILER SHOPS)
ticker_root,SMR
homepage_url,https://www.nuscalepower.com
total_employees,556
list_date,2022-05-03
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/bnVzY2FsZXBvd2VyLmNvbQ/images/2024-10-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/bnVzY2FsZXBvd2VyLmNvbQ/images/2024-10-01_icon.png'}"
share_class_shares_outstanding,119550000
weighted_shares_outstanding,120897661
round_lot,100
