,Value
ticker,CWEN
name,"Clearway Energy, Inc. Class C Common Stock"
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001567683
composite_figi,BBG008LJ4TF3
share_class_figi,BBG008LJ4TG2
market_cap,3221530202.15
phone_number,609-608-1525
address,"{'address1': '300 CARNEGIE CENTER, SUITE 300', 'city': 'PRINCETON', 'state': 'NJ', 'postal_code': '08540'}"
description,"Clearway Energy Inc is a publicly-traded energy infrastructure investor with a focus on investments in clean energy and owner of modern, sustainable and long-term contracted assets across North America. The company segments its operations into conventional power generation, renewables and thermal divisions."
sic_code,4911
sic_description,ELECTRIC SERVICES
ticker_root,CWEN
homepage_url,https://www.clearwayenergy.com
total_employees,61
list_date,2013-07-16
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Y2xlYXJ3YXllbmVyZ3kuY29t/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Y2xlYXJ3YXllbmVyZ3kuY29t/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,82830000
weighted_shares_outstanding,117445505
round_lot,100
